frequency,word
786,love
356,family
311,thank
281,sorry
167,life
166,hope
155,forgive
152,lord
133,people
129,peace
114,jesus
107,warden
103,death
92,strong
91,pain
91,ready
88,heart
81,friends
81,father
79,years
70,please
69,time
67,home
67,back
65,care
64,stay
63,always
63,pray
60,caused
60,christ
59,forgiveness
57,good
56,mom
53,loved
51,innocent
50,row
48,sir
47,bless
46,support
46,heaven
46,apologize
45,world
44,wish
42,happened
41,sister
41,hate
41,allah
38,kill
37,help
37,feel
36,tonight
36,statement
36,son
35,truth
35,brother
34,wrong
34,hurt
34,appreciate
33,justice
32,thanks
32,mother
31,closure
30,murder
30,brothers
